"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0707.3","MA0707.3",1,7302,50,18.255,2.73897562311695,0.331779228230706,"MNX1",1
"MA0528.3","MA0528.3",1,7356,50,18.39,2.71886895051659,0.333984542113553,"ZNF263",1
"MA1125.2","MA1125.2",1,7704,50,19.26,2.59605399792316,0.348109127728193,"ZNF384",1
"MA1653.2","MA1653.2",1,8122,50,20.305,2.46244767298695,0.364874743118578,"ZNF148",1
"MA1535.2","MA1535.2",1,8177,50,20.4425,2.44588479882598,0.367064485362134,"NR2C1",1
"MA0599.1","MA0599.1",1,8182,50,20.455,2.4443901246639,0.367263365334133,"KLF5",1
"MA1961.2","MA1961.2",1,8194,50,20.485,2.44081034903588,0.367740549763744,"PATZ1",1
"MA1630.3","MA1630.3",1,8352,50,20.88,2.39463601532567,0.374006690167254,"ZNF281",1
"MA0259.2","MA0259.2",1,9345,50,23.3625,2.14018191546281,0.41267383559589,"ARNT::HIF1A",1
"MA0738.2","MA0738.2",1,9397,50,23.4925,2.12833883154198,0.414664737868447,"HIC2",1
"MA1964.2","MA1964.2",1,9475,50,23.6875,2.11081794195251,0.417644753618841,"SMAD2",1
"MA1723.2","MA1723.2",1,9529,50,23.8225,2.09885612341274,0.419703386334658,"PRDM9",1
"MA2337.1","MA2337.1",1,9869,50,24.6725,2.02654777586382,0.432581420785519,"Nr1h3",1
"MA1996.2","MA1996.2",1,9869,50,24.6725,2.02654777586382,0.432581420785519,"Nr1H2",1
"MA1110.3","MA1110.3",1,9869,50,24.6725,2.02654777586382,0.432581420785519,"Nr1H4",1
"MA1536.2","MA1536.2",1,9869,50,24.6725,2.02654777586382,0.432581420785519,"NR2C2.1",1
"MA0820.2","MA0820.2",1,10294,50,25.735,1.94287934719254,0.448475755643891,"FIGLA",1
"MA0103.4","MA0103.4",1,10294,50,25.735,1.94287934719254,0.448475755643891,"ZEB1",1
"MA0442.3","MA0442.3",1,10520,50,26.3,1.90114068441065,0.456835845896147,"SOX10",1
"MA0151.1","MA0151.1",1,11223,50,28.0575,1.78205470907957,0.482432715817895,"Arid3a",1
"MA0130.1","MA0130.1",1,11228,50,28.07,1.78126113288208,0.482612557813945,"ZNF354C",1
"MA0006.2","MA0006.2",1,11656,50,29.14,1.71585449553878,0.497891202280057,"Ahr::Arnt",1
"MA1635.2","MA1635.2",1,11784,50,29.46,1.69721656483367,0.502416035400885,"BHLHE22.1",1
"MA1993.2","MA1993.2",1,11784,50,29.46,1.69721656483367,0.502416035400885,"Neurod2",1
"MA1997.2","MA1997.2",1,11784,50,29.46,1.69721656483367,0.502416035400885,"Olig2",1
"MA0521.3","MA0521.3",1,11784,50,29.46,1.69721656483367,0.502416035400885,"Tcf12",1
"MA0633.3","MA0633.3",1,11784,50,29.46,1.69721656483367,0.502416035400885,"Twist2",1
"MA0624.3","MA0624.3",1,12535,50,31.3375,1.59553250897487,0.52855148878722,"Nfatc1",1
"MA0625.3","MA0625.3",1,12535,50,31.3375,1.59553250897487,0.52855148878722,"NFATC3",1
"MA1116.2","MA1116.2",1,12604,50,31.51,1.58679784195494,0.530917385434636,"RBPJ",1
"MA2326.1","MA2326.1",1,14358,50,35.895,1.39295166457724,0.589060650266257,"IKZF2",1
"MA1965.2","MA1965.2",1,16564,50,41.41,1.20743781695243,0.656727255681392,"SP5",1
"MA0498.3","MA0498.3",1,24094,50,60.235,0.830082178135635,0.841880465761644,"MEIS1",1
"MA0069.1","MA0069.1",0,1409,0,3.5225,0,1,"PAX6",1
"MA0071.1","MA0071.1",0,3114,0,7.785,0,1,"RORA",1
"MA0074.1","MA0074.1",0,1227,0,3.0675,0,1,"RXRA::VDR",1
"MA0101.1","MA0101.1",0,1792,0,4.48,0,1,"REL",1
"MA0107.1","MA0107.1",0,2015,0,5.0375,0,1,"RELA",1
"MA0111.1","MA0111.1",0,1723,0,4.3075,0,1,"Spz1",1
"MA0116.1","MA0116.1",0,1956,0,4.89,0,1,"Znf423",1
"MA0142.1","MA0142.1",0,4666,0,11.665,0,1,"Pou5f1::Sox2",1
"MA0149.1","MA0149.1",0,7891,0,19.7275,0,1,"EWSR1-FLI1",1
"MA0159.1","MA0159.1",0,2489,0,6.2225,0,1,"RARA::RXRA",1
"MA0163.1","MA0163.1",0,4072,0,10.18,0,1,"PLAG1",1
"MA0145.2","MA0145.2",0,3098,0,7.745,0,1,"Tfcp2l1",1
"MA0515.1","MA0515.1",0,3907,0,9.7675,0,1,"Sox6",1
"MA0595.1","MA0595.1",0,1865,0,4.6625,0,1,"SREBF1",1
"MA0596.1","MA0596.1",0,1929,0,4.8225,0,1,"SREBF2",1
"MA0604.1","MA0604.1",0,377,0,0.9425,0,1,"Atf1",1
"MA0608.1","MA0608.1",0,1133,0,2.8325,0,1,"Creb3l2",1
"MA0614.1","MA0614.1",0,2478,0,6.195,0,1,"Foxj2",1
"MA0636.1","MA0636.1",0,662,0,1.655,0,1,"BHLHE41",1
"MA0153.2","MA0153.2",0,2743,0,6.8575,0,1,"HNF1B",1
"MA0486.2","MA0486.2",0,1609,0,4.0225,0,1,"HSF1",1
"MA0655.1","MA0655.1",0,1664,0,4.16,0,1,"JDP2",1
"MA0663.1","MA0663.1",0,876,0,2.19,0,1,"MLX",1
"MA0669.1","MA0669.1",0,2013,0,5.0325,0,1,"NEUROG2",1
"MA0676.1","MA0676.1",0,2369,0,5.9225,0,1,"Nr2e1",1
"MA0678.1","MA0678.1",0,1176,0,2.94,0,1,"OLIG2",1
"MA0068.2","MA0068.2",0,1308,0,3.27,0,1,"PAX4",1
"MA0083.3","MA0083.3",0,876,0,2.19,0,1,"SRF",1
"MA0009.2","MA0009.2",0,727,0,1.8175,0,1,"TBXT",1
"MA0689.1","MA0689.1",0,1985,0,4.9625,0,1,"TBX20",1
"MA0713.1","MA0713.1",0,4557,0,11.3925,0,1,"PHOX2A",1
"MA0715.1","MA0715.1",0,5020,0,12.55,0,1,"PROP1",1
"MA0724.1","MA0724.1",0,1156,0,2.89,0,1,"VENTX",1
"MA0730.1","MA0730.1",0,2310,0,5.775,0,1,"RARA.1",1
"MA0731.1","MA0731.1",0,2027,0,5.0675,0,1,"BCL6B",1
"MA0472.2","MA0472.2",0,1717,0,4.2925,0,1,"EGR2",1
"MA0737.1","MA0737.1",0,1257,0,3.1425,0,1,"GLIS3",1
"MA0088.2","MA0088.2",0,2188,0,5.47,0,1,"ZNF143",1
"MA0758.1","MA0758.1",0,1117,0,2.7925,0,1,"E2F7",1
"MA0770.1","MA0770.1",0,1822,0,4.555,0,1,"HSF2",1
"MA0771.1","MA0771.1",0,1629,0,4.0725,0,1,"HSF4",1
"MA0774.1","MA0774.1",0,2182,0,5.455,0,1,"MEIS2",1
"MA0776.1","MA0776.1",0,311,0,0.7775,0,1,"MYBL1",1
"MA0777.1","MA0777.1",0,336,0,0.84,0,1,"MYBL2",1
"MA0105.4","MA0105.4",0,1189,0,2.9725,0,1,"NFKB1",1
"MA0780.1","MA0780.1",0,1620,0,4.05,0,1,"PAX3",1
"MA0783.1","MA0783.1",0,2787,0,6.9675,0,1,"PKNOX2",1
"MA0787.1","MA0787.1",0,4649,0,11.6225,0,1,"POU3F2",1
"MA0788.1","MA0788.1",0,5326,0,13.315,0,1,"POU3F3",1
"MA0789.1","MA0789.1",0,3206,0,8.015,0,1,"POU3F4",1
"MA0792.1","MA0792.1",0,3434,0,8.585,0,1,"POU5F1B",1
"MA0794.1","MA0794.1",0,688,0,1.72,0,1,"PROX1",1
"MA0795.1","MA0795.1",0,517,0,1.2925,0,1,"SMAD3",1
"MA0796.1","MA0796.1",0,2191,0,5.4775,0,1,"TGIF1",1
"MA0797.1","MA0797.1",0,2111,0,5.2775,0,1,"TGIF2",1
"MA0511.2","MA0511.2",0,877,0,2.1925,0,1,"RUNX2",1
"MA0801.1","MA0801.1",0,1703,0,4.2575,0,1,"MGA",1
"MA0803.1","MA0803.1",0,1703,0,4.2575,0,1,"TBX15",1
"MA0805.1","MA0805.1",0,1986,0,4.965,0,1,"TBX1",1
"MA0806.1","MA0806.1",0,1479,0,3.6975,0,1,"TBX4",1
"MA0807.1","MA0807.1",0,1479,0,3.6975,0,1,"TBX5",1
"MA0808.1","MA0808.1",0,2136,0,5.34,0,1,"TEAD3",1
"MA0826.1","MA0826.1",0,1134,0,2.835,0,1,"OLIG1",1
"MA0827.1","MA0827.1",0,1382,0,3.455,0,1,"OLIG3",1
"MA0838.1","MA0838.1",0,563,0,1.4075,0,1,"CEBPG",1
"MA0858.1","MA0858.1",0,2014,0,5.035,0,1,"Rarb.1",1
"MA0525.2","MA0525.2",0,737,0,1.8425,0,1,"TP63",1
"MA0106.3","MA0106.3",0,933,0,2.3325,0,1,"TP53",1
"MA0862.1","MA0862.1",0,227,0,0.5675,0,1,"GMEB2",1
"MA0863.1","MA0863.1",0,1157,0,2.8925,0,1,"MTF1",1
"MA0024.3","MA0024.3",0,375,0,0.9375,0,1,"E2F1",1
"MA0866.1","MA0866.1",0,2393,0,5.9825,0,1,"SOX21",1
"MA0870.1","MA0870.1",0,1749,0,4.3725,0,1,"Sox1",1
"MA1124.1","MA1124.1",0,3887,0,9.7175,0,1,"ZNF24",1
"MA1155.1","MA1155.1",0,3276,0,8.19,0,1,"ZSCAN4",1
"MA1127.1","MA1127.1",0,1248,0,3.12,0,1,"FOSB::JUN",1
"MA1129.1","MA1129.1",0,767,0,1.9175,0,1,"FOSL1::JUN",1
"MA1136.1","MA1136.1",0,1048,0,2.62,0,1,"FOSB::JUNB",1
"MA1421.1","MA1421.1",0,3172,0,7.93,0,1,"TCF7L1",1
"MA1468.1","MA1468.1",0,2305,0,5.7625,0,1,"ATOH7",1
"MA1485.1","MA1485.1",0,2832,0,7.08,0,1,"FERD3L",1
"MA1489.1","MA1489.1",0,1369,0,3.4225,0,1,"FOXN3",1
"MA1493.1","MA1493.1",0,1002,0,2.505,0,1,"HES6",1
"MA1509.1","MA1509.1",0,396,0,0.99,0,1,"IRF6",1
"MA1538.1","MA1538.1",0,1283,0,3.2075,0,1,"NR2F1",1
"MA1539.1","MA1539.1",0,1177,0,2.9425,0,1,"NR2F6",1
"MA1555.1","MA1555.1",0,985,0,2.4625,0,1,"RXRB.1",1
"MA1556.1","MA1556.1",0,1262,0,3.155,0,1,"RXRG.1",1
"MA1557.1","MA1557.1",0,405,0,1.0125,0,1,"SMAD5",1
"MA1570.1","MA1570.1",0,1572,0,3.93,0,1,"TFAP4.1",1
"MA1571.1","MA1571.1",0,1471,0,3.6775,0,1,"TGIF2LX",1
"MA1572.1","MA1572.1",0,1368,0,3.42,0,1,"TGIF2LY",1
"MA1588.1","MA1588.1",0,2059,0,5.1475,0,1,"ZNF136",1
"MA1594.1","MA1594.1",0,1869,0,4.6725,0,1,"ZNF382",1
"MA1597.1","MA1597.1",0,3009,0,7.5225,0,1,"ZNF528",1
"MA0158.2","MA0158.2",0,1498,0,3.745,0,1,"HOXA5",1
"MA0912.2","MA0912.2",0,2046,0,5.115,0,1,"HOXD3",1
"MA0623.2","MA0623.2",0,1162,0,2.905,0,1,"NEUROG1",1
"MA2093.1","MA2093.1",0,2098,0,5.245,0,1,"HOXB1",1
"MA2094.1","MA2094.1",0,709,0,1.7725,0,1,"PAX8",1
"MA2095.1","MA2095.1",0,2576,0,6.44,0,1,"Sox7",1
"MA2096.1","MA2096.1",0,660,0,1.65,0,1,"ZNF524",1
"MA1715.1","MA1715.1",0,3327,0,8.3175,0,1,"ZNF707",1
"MA2097.1","MA2097.1",0,2886,0,7.215,0,1,"ZNF75A",1
"MA2099.1","MA2099.1",0,2449,0,6.1225,0,1,"ZNF770",1
"MA1718.1","MA1718.1",0,1739,0,4.3475,0,1,"ZNF8",1
"MA2100.1","MA2100.1",0,1930,0,4.825,0,1,"ZSCAN16",1
"MA1684.1","MA1684.1",0,4901,0,12.2525,0,1,"Foxn1",1
"MA2102.1","MA2102.1",0,159,0,0.3975,0,1,"ZBTB17",1
"MA1957.1","MA1957.1",0,1058,0,2.645,0,1,"HOXB2::ELK1",1
"MA1972.1","MA1972.1",0,5702,0,14.255,0,1,"ZFP14",1
"MA1980.1","MA1980.1",0,3740,0,9.35,0,1,"ZNF418",1
"MA1985.1","MA1985.1",0,1157,0,2.8925,0,1,"ZNF669",1
"MA2119.1","MA2119.1",0,2098,0,5.245,0,1,"HOXA3",1
"MA2120.1","MA2120.1",0,3219,0,8.0475,0,1,"ZNF184",1
"MA2121.1","MA2121.1",0,6477,0,16.1925,0,1,"ZNF213",1
"MA2123.1","MA2123.1",0,2813,0,7.0325,0,1,"Hand1",1
"MA2126.1","MA2126.1",0,1608,0,4.02,0,1,"Zfp961",1
"MA0509.3","MA0509.3",0,1577,0,3.9425,0,1,"RFX1",1
"MA0607.2","MA0607.2",0,1305,0,3.2625,0,1,"BHLHA15",1
"MA0798.3","MA0798.3",0,1607,0,4.0175,0,1,"RFX3",1
"MA0818.2","MA0818.2",0,1005,0,2.5125,0,1,"BHLHE22",1
"MA0878.3","MA0878.3",0,2406,0,6.015,0,1,"CDX1",1
"MA0884.2","MA0884.2",0,1927,0,4.8175,0,1,"DUXA",1
"MA1547.2","MA1547.2",0,3439,0,8.5975,0,1,"PITX2",1
"MA1563.2","MA1563.2",0,2210,0,5.525,0,1,"SOX18",1
"MA1573.2","MA1573.2",0,2358,0,5.895,0,1,"Thap11",1
"MA1601.2","MA1601.2",0,2698,0,6.745,0,1,"ZNF75D",1
"MA1633.2","MA1633.2",0,1859,0,4.6475,0,1,"BACH1",1
"MA2323.1","MA2323.1",0,2303,0,5.7575,0,1,"Pgr",1
"MA2324.1","MA2324.1",0,2569,0,6.4225,0,1,"BCL11A",1
"MA2325.1","MA2325.1",0,426,0,1.065,0,1,"EPAS1",1
"MA2327.1","MA2327.1",0,1632,0,4.08,0,1,"PGR",1
"MA2329.1","MA2329.1",0,1658,0,4.145,0,1,"ZBTB11",1
"MA2331.1","MA2331.1",0,1502,0,3.755,0,1,"ZNF157",1
"MA2333.1","MA2333.1",0,1995,0,4.9875,0,1,"ZNF35",1
"MA2335.1","MA2335.1",0,5907,0,14.7675,0,1,"ZNF558",1
"MA2336.1","MA2336.1",0,2809,0,7.0225,0,1,"ZSCAN21",1
"MA2339.1","MA2339.1",0,1513,0,3.7825,0,1,"Nanog",1
"MA2340.1","MA2340.1",0,1392,0,3.48,0,1,"Zbtb2",1
"MA0619.2","MA0619.2",0,2838,0,7.095,0,1,"LIN54",1
"MA0854.2","MA0854.2",0,2769,0,6.9225,0,1,"Alx1",1
"MA0634.2","MA0634.2",0,5387,0,13.4675,0,1,"ALX3",1
"MA0853.2","MA0853.2",0,2073,0,5.1825,0,1,"Alx4",1
"MA0690.3","MA0690.3",0,1582,0,3.955,0,1,"TBX21",1
"MA0007.4","MA0007.4",0,973,0,2.4325,0,1,"Ar",1
"MA1463.2","MA1463.2",0,2769,0,6.9225,0,1,"ARGFX",1
"MA0601.2","MA0601.2",0,4323,0,10.8075,0,1,"Arid3b",1
"MA0602.2","MA0602.2",0,2448,0,6.12,0,1,"Arid5a",1
"MA1464.2","MA1464.2",0,821,0,2.0525,0,1,"ARNT2",1
"MA0603.2","MA0603.2",0,1141,0,2.8525,0,1,"Arntl",1
"MA0874.2","MA0874.2",0,2454,0,6.135,0,1,"Arx",1
"MA1100.3","MA1100.3",0,3467,0,8.6675,0,1,"ASCL1",1
"MA1632.2","MA1632.2",0,2731,0,6.8275,0,1,"ATF2",1
"MA0605.3","MA0605.3",0,1224,0,3.06,0,1,"ATF3",1
"MA0833.3","MA0833.3",0,2175,0,5.4375,0,1,"ATF4",1
"MA1466.2","MA1466.2",0,753,0,1.8825,0,1,"ATF6",1
"MA0834.2","MA0834.2",0,940,0,2.35,0,1,"ATF7",1
"MA0461.3","MA0461.3",0,1324,0,3.31,0,1,"Atoh1",1
"MA1467.3","MA1467.3",0,5653,0,14.1325,0,1,"Atoh1.1",1
"MA0591.2","MA0591.2",0,2312,0,5.78,0,1,"Bach1::Mafk",1
"MA1101.3","MA1101.3",0,1314,0,3.285,0,1,"BACH2",1
"MA1470.2","MA1470.2",0,886,0,2.215,0,1,"BACH2.1",1
"MA0877.4","MA0877.4",0,1659,0,4.1475,0,1,"BARHL1",1
"MA0635.2","MA0635.2",0,1659,0,4.1475,0,1,"BARHL2",1
"MA0875.2","MA0875.2",0,6946,0,17.365,0,1,"BARX1",1
"MA1471.2","MA1471.2",0,2822,0,7.055,0,1,"BARX2",1
"MA0488.2","MA0488.2",0,2503,0,6.2575,0,1,"JUN",1
"MA1989.2","MA1989.2",0,2321,0,5.8025,0,1,"Bcl11B",1
"MA0463.3","MA0463.3",0,1688,0,4.22,0,1,"BCL6",1
"MA0817.2","MA0817.2",0,1206,0,3.015,0,1,"BHLHE23",1
"MA0464.3","MA0464.3",0,604,0,1.51,0,1,"BHLHE40",1
"MA0876.2","MA0876.2",0,6946,0,17.365,0,1,"BSX",1
"MA0465.3","MA0465.3",0,2367,0,5.9175,0,1,"CDX2",1
"MA1473.2","MA1473.2",0,2435,0,6.0875,0,1,"CDX4",1
"MA0102.5","MA0102.5",0,2038,0,5.095,0,1,"CEBPA",1
"MA0466.4","MA0466.4",0,264,0,0.66,0,1,"CEBPB",1
"MA0836.3","MA0836.3",0,1704,0,4.26,0,1,"CEBPD",1
"MA0837.3","MA0837.3",0,356,0,0.89,0,1,"CEBPE",1
"MA1636.2","MA1636.2",0,2352,0,5.88,0,1,"CEBPG.1",1
"MA0819.3","MA0819.3",0,1194,0,2.985,0,1,"CLOCK",1
"MA0638.2","MA0638.2",0,768,0,1.92,0,1,"CREB3",1
"MA0839.2","MA0839.2",0,961,0,2.4025,0,1,"CREB3L1",1
"MA1474.2","MA1474.2",0,985,0,2.4625,0,1,"CREB3L4",1
"MA1475.2","MA1475.2",0,636,0,1.59,0,1,"CREB3L4.1",1
"MA0840.2","MA0840.2",0,1164,0,2.91,0,1,"Creb5",1
"MA0609.3","MA0609.3",0,1011,0,2.5275,0,1,"CREM",1
"MA1929.2","MA1929.2",0,5531,0,13.8275,0,1,"CTCF.1",1
"MA1102.3","MA1102.3",0,4289,0,10.7225,0,1,"CTCFL",1
"MA0754.3","MA0754.3",0,854,0,2.135,0,1,"CUX1",1
"MA0650.4","MA0650.4",0,2241,0,5.6025,0,1,"Hoxa13",1
"MA0901.3","MA0901.3",0,4245,0,10.6125,0,1,"HOXB13",1
"MA0755.2","MA0755.2",0,498,0,1.245,0,1,"CUX2",1
"MA0639.2","MA0639.2",0,783,0,1.9575,0,1,"DBP",1
"MA0879.3","MA0879.3",0,6946,0,17.365,0,1,"DLX1",1
"MA0885.3","MA0885.3",0,2140,0,5.35,0,1,"Dlx2",1
"MA0880.2","MA0880.2",0,6946,0,17.365,0,1,"Dlx3",1
"MA0881.2","MA0881.2",0,6946,0,17.365,0,1,"Dlx4",1
"MA1476.3","MA1476.3",0,2140,0,5.35,0,1,"Dlx5",1
"MA0882.2","MA0882.2",0,6946,0,17.365,0,1,"DLX6",1
"MA1603.2","MA1603.2",0,2057,0,5.1425,0,1,"Dmrt1",1
"MA0610.2","MA0610.2",0,1347,0,3.3675,0,1,"DMRT3",1
"MA1478.2","MA1478.2",0,4703,0,11.7575,0,1,"DMRTA2",1
"MA1480.2","MA1480.2",0,2111,0,5.2775,0,1,"DPRX",1
"MA1481.2","MA1481.2",0,5387,0,13.4675,0,1,"DRGX",1
"MA0611.3","MA0611.3",0,2710,0,6.775,0,1,"Dux",1
"MA0864.3","MA0864.3",0,438,0,1.095,0,1,"E2F2",1
"MA0469.4","MA0469.4",0,192,0,0.48,0,1,"E2F3",1
"MA0756.3","MA0756.3",0,362,0,0.905,0,1,"ONECUT2",1
"MA0470.3","MA0470.3",0,395,0,0.9875,0,1,"E2F4",1
"MA0154.5","MA0154.5",0,3738,0,9.345,0,1,"EBF1",1
"MA1604.2","MA1604.2",0,3397,0,8.4925,0,1,"Ebf2",1
"MA1637.2","MA1637.2",0,3271,0,8.1775,0,1,"EBF3",1
"MA0162.5","MA0162.5",0,3034,0,7.585,0,1,"EGR1",1
"MA0732.2","MA0732.2",0,2291,0,5.7275,0,1,"EGR3",1
"MA0733.2","MA0733.2",0,2963,0,7.4075,0,1,"EGR4",1
"MA1483.3","MA1483.3",0,1375,0,3.4375,0,1,"ELF2",1
"MA0028.3","MA0028.3",0,1163,0,2.9075,0,1,"ELK1",1
"MA0800.2","MA0800.2",0,1720,0,4.3,0,1,"EOMES",1
"MA1708.2","MA1708.2",0,1501,0,3.7525,0,1,"ETV7",1
"MA1495.2","MA1495.2",0,5387,0,13.4675,0,1,"HOXA1",1
"MA0779.2","MA0779.2",0,831,0,2.0775,0,1,"PAX1",1
"MA0781.2","MA0781.2",0,841,0,2.1025,0,1,"PAX9",1
"MA0828.3","MA0828.3",0,670,0,1.675,0,1,"SREBF2.1",1
"MA0843.2","MA0843.2",0,1003,0,2.5075,0,1,"TEF",1
"MA0759.3","MA0759.3",0,1202,0,3.005,0,1,"ELK3",1
"MA0076.3","MA0076.3",0,1746,0,4.365,0,1,"ELK4",1
"MA0612.3","MA0612.3",0,5387,0,13.4675,0,1,"EMX1",1
"MA0886.2","MA0886.2",0,5387,0,13.4675,0,1,"EMX2",1
"MA0027.3","MA0027.3",0,6946,0,17.365,0,1,"EN1",1
"MA0642.3","MA0642.3",0,2019,0,5.0475,0,1,"EN2",1
"MA1934.2","MA1934.2",0,2385,0,5.9625,0,1,"ERF::FIGLA",1
"MA1936.2","MA1936.2",0,2975,0,7.4375,0,1,"ERF::FOXO1",1
"MA1937.2","MA1937.2",0,1232,0,3.08,0,1,"ERF::HOXB13",1
"MA1938.2","MA1938.2",0,3009,0,7.5225,0,1,"ERF::NHLH1",1
"MA1939.2","MA1939.2",0,909,0,2.2725,0,1,"ERF::SREBF2",1
"MA0112.4","MA0112.4",0,1257,0,3.1425,0,1,"ESR1",1
"MA0141.4","MA0141.4",0,2481,0,6.2025,0,1,"ESRRB",1
"MA0644.3","MA0644.3",0,2348,0,5.87,0,1,"ESX1",1
"MA1484.2","MA1484.2",0,1070,0,2.675,0,1,"ETS2",1
"MA0762.2","MA0762.2",0,952,0,2.38,0,1,"ETV2",1
"MA1940.2","MA1940.2",0,1285,0,3.2125,0,1,"ETV2::DRGX",1
"MA1941.2","MA1941.2",0,2685,0,6.7125,0,1,"ETV2::FIGLA",1
"MA0763.2","MA0763.2",0,902,0,2.255,0,1,"ETV3",1
"MA0764.4","MA0764.4",0,1217,0,3.0425,0,1,"ETV4",1
"MA0765.4","MA0765.4",0,1212,0,3.03,0,1,"ETV5",1
"MA1944.2","MA1944.2",0,1619,0,4.0475,0,1,"ETV5::DRGX",1
"MA1945.2","MA1945.2",0,3444,0,8.61,0,1,"ETV5::FIGLA",1
"MA1946.2","MA1946.2",0,2547,0,6.3675,0,1,"ETV5::FOXI1",1
"MA1947.2","MA1947.2",0,2968,0,7.42,0,1,"ETV5::FOXO1",1
"MA1948.2","MA1948.2",0,1177,0,2.9425,0,1,"ETV5::HOXA2",1
"MA0900.3","MA0900.3",0,5387,0,13.4675,0,1,"HOXA2",1
"MA0887.2","MA0887.2",0,5387,0,13.4675,0,1,"EVX1",1
"MA0888.2","MA0888.2",0,5387,0,13.4675,0,1,"EVX2",1
"MA0156.4","MA0156.4",0,1134,0,2.835,0,1,"FEV",1
"MA0475.3","MA0475.3",0,854,0,2.135,0,1,"FLI1",1
"MA0476.2","MA0476.2",0,1576,0,3.94,0,1,"FOS",1
"MA1951.2","MA1951.2",0,1066,0,2.665,0,1,"FOS.1",1
"MA0099.4","MA0099.4",0,1829,0,4.5725,0,1,"FOS::JUN",1
"MA1126.2","MA1126.2",0,1159,0,2.8975,0,1,"FOS::JUN.1",1
"MA1134.2","MA1134.2",0,1662,0,4.155,0,1,"FOS::JUNB",1
"MA1140.3","MA1140.3",0,908,0,2.27,0,1,"JUNB",1
"MA0490.3","MA0490.3",0,1924,0,4.81,0,1,"JUNB.1",1
"MA1141.2","MA1141.2",0,2175,0,5.4375,0,1,"FOS::JUND",1
"MA0492.2","MA0492.2",0,2454,0,6.135,0,1,"JUND",1
"MA0491.3","MA0491.3",0,1709,0,4.2725,0,1,"JUND.1",1
"MA1135.2","MA1135.2",0,1559,0,3.8975,0,1,"FOSB::JUNB.1",1
"MA0477.3","MA0477.3",0,2018,0,5.045,0,1,"FOSL1",1
"MA1128.2","MA1128.2",0,1898,0,4.745,0,1,"FOSL1::JUN.1",1
"MA1137.2","MA1137.2",0,1814,0,4.535,0,1,"FOSL1::JUNB",1
"MA1142.2","MA1142.2",0,1772,0,4.43,0,1,"FOSL1::JUND",1
"MA1143.2","MA1143.2",0,869,0,2.1725,0,1,"FOSL1::JUND.1",1
"MA0478.2","MA0478.2",0,1954,0,4.885,0,1,"FOSL2",1
"MA1130.2","MA1130.2",0,1832,0,4.58,0,1,"FOSL2::JUN",1
"MA1131.2","MA1131.2",0,1598,0,3.995,0,1,"FOSL2::JUN.1",1
"MA1138.2","MA1138.2",0,1710,0,4.275,0,1,"FOSL2::JUNB",1
"MA1139.2","MA1139.2",0,967,0,2.4175,0,1,"FOSL2::JUNB.1",1
"MA1144.2","MA1144.2",0,1590,0,3.975,0,1,"FOSL2::JUND",1
"MA1145.2","MA1145.2",0,1276,0,3.19,0,1,"FOSL2::JUND.1",1
"MA0847.4","MA0847.4",0,4989,0,12.4725,0,1,"FOXD2",1
"MA0041.3","MA0041.3",0,6290,0,15.725,0,1,"FOXD3",1
"MA1487.3","MA1487.3",0,5329,0,13.3225,0,1,"FOXE1",1
"MA0030.2","MA0030.2",0,2339,0,5.8475,0,1,"FOXF2",1
"MA0479.2","MA0479.2",0,3646,0,9.115,0,1,"FOXH1",1
"MA1953.2","MA1953.2",0,3281,0,8.2025,0,1,"FOXO1::ELF1",1
"MA1956.2","MA1956.2",0,2783,0,6.9575,0,1,"FOXO1::FLI1",1
"MA0040.2","MA0040.2",0,3602,0,9.005,0,1,"Foxq1",1
"MA0035.5","MA0035.5",0,2142,0,5.355,0,1,"GATA1",1
"MA0140.3","MA0140.3",0,1955,0,4.8875,0,1,"GATA1::TAL1",1
"MA0036.4","MA0036.4",0,1947,0,4.8675,0,1,"GATA2",1
"MA0037.5","MA0037.5",0,1980,0,4.95,0,1,"Gata3",1
"MA0482.3","MA0482.3",0,1937,0,4.8425,0,1,"GATA4",1
"MA0766.3","MA0766.3",0,941,0,2.3525,0,1,"GATA5",1
"MA1104.3","MA1104.3",0,1980,0,4.95,0,1,"GATA6",1
"MA0889.2","MA0889.2",0,2019,0,5.0475,0,1,"GBX1",1
"MA0890.2","MA0890.2",0,6946,0,17.365,0,1,"GBX2",1
"MA0646.2","MA0646.2",0,806,0,2.015,0,1,"GCM1",1
"MA0143.5","MA0143.5",0,1905,0,4.7625,0,1,"SOX2",1
"MA0767.2","MA0767.2",0,389,0,0.9725,0,1,"GCM2",1
"MA1990.2","MA1990.2",0,2026,0,5.065,0,1,"Gli1",1
"MA0734.4","MA0734.4",0,1858,0,4.645,0,1,"Gli2",1
"MA0735.2","MA0735.2",0,785,0,1.9625,0,1,"GLIS1",1
"MA0615.2","MA0615.2",0,525,0,1.3125,0,1,"Gmeb1",1
"MA0647.2","MA0647.2",0,710,0,1.775,0,1,"GRHL1",1
"MA0892.2","MA0892.2",0,5387,0,13.4675,0,1,"GSX1",1
"MA0893.3","MA0893.3",0,2098,0,5.245,0,1,"GSX2",1
"MA0092.2","MA0092.2",0,2132,0,5.33,0,1,"Hand1::Tcf3",1
"MA1638.2","MA1638.2",0,13386,0,33.465,0,1,"HAND2",1
"MA0894.2","MA0894.2",0,6946,0,17.365,0,1,"HESX1",1
